"Location/Name","Address","Use","FY","OR","Loan/Grant","Type","IncentiveTerm","Total Project Cost","Leveraged Investment","Direct City Incentive","Projected   Incentive over Term","Total City Incentive over Term","Projected Gross Revenue Over Term","Projected Net Revenue over Term","Job Creation","Jobs Retained","Commercial SF","Housing Units"
"Handzy","17 W Pike St","Other","20","212-19","Loan","108 Loan","10",30000,NA,NA,NA,0,36448,36448,0,0,0,NA
"Olla, LLC","302 MLK","Small Business","20","213-19","Grant","Rent Subsidy","3",65870,59870,6000,NA,6000,NA,0,5,0,1400,0
"Salon Jade, LLC","717 Pike Street","Small Business","20","214-19","Grant","Rent Subsidy","3",12000,6000,6000,NA,6000,NA,0,4,0,NA,0
"Gumdrop, LLC","15 W Pike St","Small Business","20","215-19","Grant","Rent Subsidy","3",23550,17550,6000,NA,6000,NA,0,2,0,750,0
"Haven Spa","330 Scott Blvd","Small Business","20","216-19","Grant","Rent Subsidy","3",25596,20796,4800,NA,4800,NA,0,4,0,NA,0
"1301 Holman Street, LLC","1301 Holman St","Small Business","20","217-19","Forgiveable Grant","Façade Incentive","3",12163,6163,6000,NA,6000,NA,0,1,0,NA,0
"Crafts + Vines","642 Main St","Small Business","20","218-19","Forgiveable Grant","Façade Incentive","3",13400,7400,6000,NA,6000,NA,0,NA,0,NA,0
"Covington Ladies Home","702 Garrard St","Small Business","20","219-19","Forgiveable Grant","Façade Incentive","3",15200,9200,6000,NA,6000,NA,0,NA,0,NA,0
"ICON Marketing","35 W 8th St","JDI","20","275-19","Payroll Incentive","JDI","10",4125000,4125000,0,177500,177500,703150,525650,42,0,0,0
"Road iD","814 Washington St","JDI","20","276-19","Payroll Incentive","JDI","10",1300000,1100000,2e+05,1e+05,3e+05,392000,292000,4,25,11590,0
"Cor Freight, LLC","525 W 5th St","Small Business","20","287-19","Grant","Rent Subsidy","3",21000,15000,6000,NA,6000,NA,0,3,0,920,0
"Dixie Chili Inc","2421 Madison Ave","Small Business","20","289-19","Forgiveable Grant","Façade Incentive","3",7091,3545,3546,NA,3546,NA,0,0,0,NA,0
"Haven Café","332 Scott Blvd","Small Business","20","289-19","Grant","Rent Subsidy","3",20596,15298,5298,NA,5298,NA,0,3,0,NA,0
"Lewisburg Gateway, LLC","717 Pike Street","Small Business","20","290-19","Forgiveable Grant","Façade Incentive","3",11267,5633,5634,NA,5634,NA,0,NA,0,NA,0
"Covington Ladies Home","702 Garrard St","Other","20","295-19","Loan","EPAD","30",1113710,1113710,0,NA,0,NA,NA,NA,NA,NA,NA
"Spoon","501 Main St","Other","20","015-20","Loan","108","20",480000,180000,3e+05,0,3e+05,436305,NA,17,NA,NA,NA
"Hotel Covington Expansion /YMCA","614 Madison Ave","IRB & Other","20","018-20","N/a","Real Estate","n/a",22500000,22500000,0,0,0,NA,NA,100,0,40000,NA
